=== T31 ===
[canon] T  [volumes] 1: ['T31']...

[volume] T31
  [files] 43
  [ok] cbeta-T45n1861: 7 juans, 619009 bytes
  [ok] cbeta-T45n1862: 3 juans, 163979 bytes
  [ok] cbeta-T45n1863: 4 juans, 203027 bytes
  [ok] cbeta-T45n1864: 1 juans, 91729 bytes
  [ok] cbeta-T45n1865: 2 juans, 41148 bytes
  [ok] cbeta-T45n1866: 4 juans, 145191 bytes
  [ok] cbeta-T45n1867: 1 juans, 25043 bytes
  [ok] cbeta-T45n1868: 1 juans, 22241 bytes
  [ok] cbeta-T45n1869: 2 juans, 84176 bytes
  [ok] cbeta-T45n1870: 4 juans, 256327 bytes
  [ok] cbeta-T45n1871: 1 juans, 35363 bytes
  [ok] cbeta-T45n1872: 1 juans, 6523 bytes
  [ok] cbeta-T45n1873: 2 juans, 66271 bytes
  [ok] cbeta-T45n1874: 2 juans, 66640 bytes
  [ok] cbeta-T45n1875: 1 juans, 45686 bytes
  [ok] cbeta-T45n1876: 1 juans, 22465 bytes
  [ok] cbeta-T45n1877: 1 juans, 46289 bytes
  [ok] cbeta-T45n1878: 1 juans, 27577 bytes
  [ok] cbeta-T45n1879a: 1 juans, 15990 bytes
  [ok] cbeta-T45n1879b: 1 juans, 16505 bytes
  [ok] cbeta-T45n1880: 1 juans, 16678 bytes
  [ok] cbeta-T45n1881: 1 juans, 14461 bytes
  [ok] cbeta-T45n1882: 1 juans, 5631 bytes
  [ok] cbeta-T45n1883: 2 juans, 55144 bytes
  [ok] cbeta-T45n1884: 1 juans, 39226 bytes
  [ok] cbeta-T45n1885: 2 juans, 69279 bytes
  [ok] cbeta-T45n1886: 1 juans, 12889 bytes
  [ok] cbeta-T45n1887A: 1 juans, 29548 bytes
  [ok] cbeta-T45n1887B: 4 juans, 246846 bytes
  [ok] cbeta-T45n1888: 1 juans, 28535 bytes
  [ok] cbeta-T45n1889: 1 juans, 11851 bytes
  [ok] cbeta-T45n1890: 1 juans, 84954 bytes
  [ok] cbeta-T45n1891: 1 juans, 29807 bytes
  [ok] cbeta-T45n1892: 1 juans, 47763 bytes
  [ok] cbeta-T45n1893: 2 juans, 80583 bytes
  [ok] cbeta-T45n1894: 1 juans, 26734 bytes
  [ok] cbeta-T45n1895: 2 juans, 64346 bytes
  [ok] cbeta-T45n1896: 2 juans, 68642 bytes
  [ok] cbeta-T45n1897: 1 juans, 25820 bytes
  [ok] cbeta-T45n1898: 1 juans, 41317 bytes
  [ok] cbeta-T45n1899: 2 juans, 67357 bytes
  [ok] cbeta-T45n1900: 1 juans, 18688 bytes
  [ok] cbeta-T45n1901: 1 juans, 2894 bytes
  [ok] cbeta-T45n1902: 1 juans, 5103 bytes
  [ok] cbeta-T45n1903: 1 juans, 4844 bytes
  [ok] cbeta-T45n1904: 1 juans, 32659 bytes
  [ok] cbeta-T45n1905: 1 juans, 13710 bytes
  [ok] cbeta-T45n1906: 1 juans, 15792 bytes
  [ok] cbeta-T45n1907: 1 juans, 17243 bytes
  [ok] cbeta-T45n1908: 1 juans, 3680 bytes
  [ok] cbeta-T45n1909: 10 juans, 204688 bytes
  [ok] cbeta-T45n1910: 3 juans, 50826 bytes

[summary] {"ok": 61}
=== T31-T45 DONE ===
